name,college,programmes,n_programmes,scopus_id,scopus_url,google_scholar_id
"Mohammad Bostanudin, Ph.D",Pharmacy,Bachelor of Science in Pharmacy; Master of Science in Pharmaceutical Sciences,2,57214623127,https://www.scopus.com/authid/detail.uri?authorId=57214623127,-0nwuwgAAAAJ
"Mahmoud Abu-Ghoush, Ph.D",Pharmacy,Bachelor of Science in Nutrition and Dietetics,1,,,i18R0x4AAAAJ
"Sehar Iqbal, Ph.D",Pharmacy,Bachelor of Science in Nutrition and Dietetics,1,58987438800,https://www.scopus.com/authid/detail.uri?authorId=58987438800,gTmLXfwAAAAJ
"Rose Ghemrawi, Ph.D",Pharmacy,Bachelor of Science in Pharmacy; Master of Science in Pharmaceutical Sciences,2,55643594600,https://www.scopus.com/authid/detail.uri?authorId=55643594600,J5DQvlIAAAAJ
"Khairi Mustafa Salem, Ph.D",Pharmacy,Bachelor of Science in Pharmacy; Master of Science in Pharmaceutical Sciences,2,57209829585,https://www.scopus.com/authid/detail.uri?authorId=57209829585,KmLTQXkAAAAJ
"Arshad Mahmood, Ph.D",Pharmacy,Bachelor of Science in Pharmacy; Master of Science in Pharmaceutical Sciences,2,56706906200,https://www.scopus.com/authid/detail.uri?authorId=56706906200,qqisYJYAAAAJ
"Mohammad Majed Al Ahmad, Ph.D",Pharmacy,Bachelor of Science in Pharmacy; Master of Science in Clinical Pharmacy,2,57216648477,https://www.scopus.com/authid/detail.uri?authorId=57216648477,IgH1h_EAAAAJ
"Amira Shaaban Ahmed, Ph.D",Pharmacy,Bachelor of Science in Pharmacy; Master of Science in Clinical Pharmacy,2,55331656100,https://www.scopus.com/authid/detail.uri?authorId=55331656100,ZyifriYAAAAJ
"Muhammad Sarfraz, Ph.D",Pharmacy,Bachelor of Science in Pharmacy; Master of Science in Pharmaceutical Sciences,2,36775730700,https://www.scopus.com/authid/detail.uri?authorId=36775730700,2CyowfIAAAAJ
"Nadia Hussain, Ph.D",Pharmacy,Bachelor of Science in Pharmacy; Master of Science in Pharmaceutical Sciences,2,57898788600,https://www.scopus.com/authid/detail.uri?authorId=57898788600,MvPrkI8AAAAJ
"Nezar Al Bataineh, Ph.D",Pharmacy,Bachelor of Science in Pharmacy; Master of Science in Pharmaceutical Sciences,2,36766892200,https://www.scopus.com/authid/detail.uri?authorId=36766892200,4r73J4UAAAAJ
"Asim Ahmed Elnour Ahmed, Ph.D",Pharmacy,Bachelor of Science in Pharmacy; Master of Science in Clinical Pharmacy,2,,,9B-hEpwAAAAJ
"Azza Galal Ramadan,Ph.D",Pharmacy,Bachelor of Science in Pharmacy; Master of Science in Pharmaceutical Sciences,2,57221312212,https://www.scopus.com/authid/detail.uri?authorId=57221312212,2_DvGj8AAAAJ
"Narmeen El Awwad, Ph.D",Pharmacy,Bachelor of Science in Nutrition and Dietetics,1,14321071700,https://www.scopus.com/authid/detail.uri?authorId=14321071700,m6fOkeYAAAAJ
"Razan Almomani, Ph.d",Pharmacy,none,0,,,9vDjNiwAAAAJ
"Yazan K. Ranneh, Ph.D",Pharmacy,Bachelor of Science in Nutrition and Dietetics,1,55771711000,https://www.scopus.com/authid/detail.uri?authorId=55771711000,19GrEAkAAAAJ
"Taima Zakaria Alqudah, Ph.D",Pharmacy,Bachelor of Science in Pharmacy; Master of Science in Pharmaceutical Sciences,2,55856345500,https://www.scopus.com/authid/detail.uri?authorId=55856345500,-BcwNT8AAAAJ
"Saad Touqeer, Ph.D",Pharmacy,Bachelor of Science in Pharmacy; Master of Science in Pharmaceutical Sciences,2,56237819700,https://www.scopus.com/authid/detail.uri?authorId=56237819700,wh1l_FEAAAAJ
"Awfa Alazzeh, Ph.D",Pharmacy,none,0,,,
"Ahmed Eissa, Ph.D",Pharmacy,Bachelor of Science in Pharmacy; Master of Science in Pharmaceutical Sciences,2,57136518500,https://www.scopus.com/authid/detail.uri?authorId=57136518500,l2i1OAsAAAAJ
"Kareem Abdou, Ph.D",Pharmacy,Bachelor of Science in Pharmacy; Master of Science in Pharmaceutical Sciences,2,57203212201,https://www.scopus.com/authid/detail.uri?authorId=57203212201,skY5178AAAAJ
"Jumana Yousef Almegdadi, MSc",Pharmacy,Bachelor of Science in Pharmacy,1,,,
Zakieh Abuelkhair,Pharmacy,Bachelor of Science in Pharmacy,1,,,
"Kawthar Mohammad Kayed, M.Sc",Pharmacy,Bachelor of Science in Pharmacy,1,57203727811,https://www.scopus.com/authid/detail.uri?authorId=57203727811,Gti9xNIAAAAJ
Imranul Haq,Pharmacy,none,0,,,
Rami Abu Jarad,Pharmacy,none,0,,,
Dana Obaid,Pharmacy,none,0,,,
Shaima Emad Ahmad Hasan,Pharmacy,none,0,,,
Ahmad Ziad Al Meslamani,Pharmacy,none,0,,,
Lana Bustanji,Pharmacy,none,0,,,
Nasrin Akther Rima,Pharmacy,none,0,,,
Nour Dabbagh,Pharmacy,none,0,,,
Abdelrahman H. Abdeen,Pharmacy,none,0,,,
Mohd Molham Sakkal,Pharmacy,none,0,,,
Khawla AbouHait,Pharmacy,none,0,,,
Rahma Elsherif,Pharmacy,none,0,,,
